metric_x,metric_y,correlation
accuracy,accuracy,1.0
accuracy,F1,0.46
accuracy,BLEU,0.505
accuracy,ROUGE-L,0.415
accuracy,METEOR,0.725
accuracy,CIDEr,0.587
accuracy,SPICE,0.596
F1,accuracy,0.46
F1,F1,1.0
F1,BLEU,0.514
F1,ROUGE-L,0.477
F1,METEOR,0.305
F1,CIDEr,0.687
F1,SPICE,0.454
BLEU,accuracy,0.505
BLEU,F1,0.514
BLEU,BLEU,1.0
BLEU,ROUGE-L,0.371
BLEU,METEOR,0.306
BLEU,CIDEr,0.323
BLEU,SPICE,0.434
ROUGE-L,accuracy,0.415
ROUGE-L,F1,0.477
ROUGE-L,BLEU,0.371
ROUGE-L,ROUGE-L,1.0
ROUGE-L,METEOR,0.52
ROUGE-L,CIDEr,0.56
ROUGE-L,SPICE,0.462
METEOR,accuracy,0.725
METEOR,F1,0.305
METEOR,BLEU,0.306
METEOR,ROUGE-L,0.52
METEOR,METEOR,1.0
METEOR,CIDEr,0.624
METEOR,SPICE,0.57
CIDEr,accuracy,0.587
CIDEr,F1,0.687
CIDEr,BLEU,0.323
CIDEr,ROUGE-L,0.56
CIDEr,METEOR,0.624
CIDEr,CIDEr,1.0
CIDEr,SPICE,0.335
SPICE,accuracy,0.596
SPICE,F1,0.454
SPICE,BLEU,0.434
SPICE,ROUGE-L,0.462
SPICE,METEOR,0.57
SPICE,CIDEr,0.335
SPICE,SPICE,1.0
